             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          63113_57    normal   fxw0.1  aleborg  R      23:52      1 cb100-28
          63113_58    normal   fxw0.1  aleborg  R      23:52      1 cb100-29
          63113_59    normal   fxw0.1  aleborg  R      23:52      1 cb100-29
          63113_51    normal   fxw0.1  aleborg  R      24:22      1 c38-8
          63113_54    normal   fxw0.1  aleborg  R      24:22      1 cb100-28
          63113_55    normal   fxw0.1  aleborg  R      24:22      1 cb100-28
          63091_30    normal   fxw0.1  aleborg  R      25:31      1 cb100-26
          63087_36    normal   fxw0.1  aleborg  R      25:31      1 cb100-25
          63098_40    normal   fxw0.1  aleborg  R      25:31      1 cb100-27
          63087_37    normal   fxw0.1  aleborg  R      25:31      1 cb100-26
          63087_38    normal   fxw0.1  aleborg  R      25:31      1 cb100-26
          63087_39    normal   fxw0.1  aleborg  R      25:31      1 cb100-26
          63091_31    normal   fxw0.1  aleborg  R      25:31      1 cb100-26
          63091_35    normal   fxw0.1  aleborg  R      25:31      1 cb100-26
          63091_37    normal   fxw0.1  aleborg  R      25:31      1 cb100-27
          63091_38    normal   fxw0.1  aleborg  R      25:31      1 cb100-27
          63091_39    normal   fxw0.1  aleborg  R      25:31      1 cb100-27
          63098_42    normal   fxw0.1  aleborg  R      25:31      1 cb100-27
          63098_43    normal   fxw0.1  aleborg  R      25:31      1 cb100-27
          63098_44    normal   fxw0.1  aleborg  R      25:31      1 cb100-28
          63098_45    normal   fxw0.1  aleborg  R      25:31      1 cb100-28
          63098_46    normal   fxw0.1  aleborg  R      25:31      1 cb100-28
          63087_33    normal   fxw0.1  aleborg  R      25:52      1 c35-7
          63087_34    normal   fxw0.1  aleborg  R      25:52      1 c36-4
          63087_35    normal   fxw0.1  aleborg  R      25:52      1 c36-6
          63087_30    normal   fxw0.1  aleborg  R      26:22      1 c34-7
          63087_31    normal   fxw0.1  aleborg  R      26:22      1 c34-8
          63087_32    normal   fxw0.1  aleborg  R      26:22      1 c35-5
          63087_27    normal   fxw0.1  aleborg  R      26:52      1 c25-3
          63087_28    normal   fxw0.1  aleborg  R      26:52      1 c25-3
          63087_29    normal   fxw0.1  aleborg  R      26:52      1 c34-3
          63074_21    normal   fxw0.1  aleborg  R      28:14      1 cb100-23
          63074_22    normal   fxw0.1  aleborg  R      28:14      1 cb100-23
          63074_23    normal   fxw0.1  aleborg  R      28:14      1 cb100-23
          63074_25    normal   fxw0.1  aleborg  R      28:14      1 cb100-24
          63074_26    normal   fxw0.1  aleborg  R      28:14      1 cb100-24
          63074_27    normal   fxw0.1  aleborg  R      28:14      1 cb100-24
          63074_28    normal   fxw0.1  aleborg  R      28:14      1 cb100-25
          63074_29    normal   fxw0.1  aleborg  R      28:14      1 cb100-25
          63066_13    normal   fxw0.1  aleborg  R      28:52      1 cb100-19
          63066_14    normal   fxw0.1  aleborg  R      28:52      1 cb100-19
          63066_15    normal   fxw0.1  aleborg  R      28:52      1 cb100-21
          63066_16    normal   fxw0.1  aleborg  R      28:52      1 cb100-21
          63066_18    normal   fxw0.1  aleborg  R      28:52      1 cb100-21
           63066_1    normal   fxw0.1  aleborg  R      28:53      1 c47-7
          63066_11    normal   fxw0.1  aleborg  R      28:53      1 c33-7
          63066_12    normal   fxw0.1  aleborg  R      28:53      1 c34-2
           63061_7    normal   fxw0.3  aleborg  R      34:01      1 c26-6
             63051  gaussian Ni-2AriP  ainaran  R      38:13      1 c24-5
          63035_50    normal   fxw0.4  aleborg  R      54:51      1 c26-6
          63027_46    normal   fxw0.4  aleborg  R      59:24      1 c47-7
          63027_47    normal   fxw0.4  aleborg  R      59:24      1 c47-7
          63027_48    normal   fxw0.4  aleborg  R      59:24      1 c47-7
           62937_6    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-9
           62937_7    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-9
           62937_8    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-12
           62937_9    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-12
          62937_10    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-12
          62937_11    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-12
          62937_12    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-12
          62937_13    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-12
          62937_14    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-13
          62937_15    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-13
          62937_16    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-13
          62937_17    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-13
          62937_18    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-13
          62937_19    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-13
          62937_20    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-15
          62937_21    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-15
          62937_22    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-15
          62937_23    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-15
          62937_24    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-15
          62937_25    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-15
          62937_26    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-16
          62937_27    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-16
          62937_28    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-16
          62937_29    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-16
          62937_30    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-16
          62937_31    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-16
          62937_32    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-17
          62937_33    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-17
          62937_34    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-17
          62937_35    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-17
          62937_36    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-17
          62937_37    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-17
          62937_38    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-18
          62937_39    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-18
          62937_40    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-18
          62937_42    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-18
          62937_44    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-18
          62937_45    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-18
          62937_46    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-19
          62937_47    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-19
          62937_48    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-19
          62937_49    normal  fxw0.20  aleborg  R    1:05:31      1 cb100-19
           62930_8    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-1
           62930_9    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-1
          62930_10    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-1
          62930_11    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-1
          62930_12    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-1
          62930_13    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-1
          62930_14    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-2
          62930_15    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-2
          62930_16    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-2
          62930_17    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-2
          62930_18    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-2
          62930_19    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-2
          62930_20    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-3
          62930_21    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-3
          62930_22    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-3
          62930_23    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-3
          62930_24    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-3
          62930_25    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-3
          62930_26    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-5
          62930_27    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-5
          62930_28    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-5
          62930_29    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-5
          62930_30    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-5
          62930_31    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-5
          62930_32    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-6
          62930_33    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-6
          62930_34    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-6
          62930_35    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-6
          62930_36    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-6
          62930_37    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-6
          62930_38    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-8
          62930_39    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-8
          62930_40    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-8
          62930_42    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-8
          62930_44    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-8
          62930_45    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-8
          62930_46    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-9
          62930_47    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-9
          62930_48    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-9
          62930_50    normal  fxw0.15  aleborg  R    1:05:35      1 cb100-9
           62930_5    normal  fxw0.15  aleborg  R    1:05:54      1 c44-4
           62930_6    normal  fxw0.15  aleborg  R    1:05:54      1 c44-4
           62930_7    normal  fxw0.15  aleborg  R    1:05:54      1 c44-4
           62930_2    normal  fxw0.15  aleborg  R    1:06:25      1 c44-4
           62930_3    normal  fxw0.15  aleborg  R    1:06:25      1 c44-4
           62930_4    normal  fxw0.15  aleborg  R    1:06:25      1 c44-4
             62914  gaussian referenc morellog  R    1:13:31      3 c32-[6-7],c51-1
